# Source: 游戏机制链图谱_283条玩法路径_公开分享版_v1.9_含元素周期表.pdf; author: 六边形老闪（张鹏）
id	family_no	family_name	family_scope	name	formula	explanation	common_examples	representative
H152	13	千人千面	角色扮演、叙事与社会关系	能力检定	行动者选择 → 随机选择 → 侦测 → 揭示 → 标量调整	选择行动并随机判定，依据属性修正结果。	桌面RPG、技能检定	no
H153	13	千人千面	角色扮演、叙事与社会关系	职业身份	行动者选择 → 替换 → 解锁 → 锁定	选择职业后取得专属能力并失去部分其他资格。	职业、兵种、角色定位	no
H154	13	千人千面	角色扮演、叙事与社会关系	合作救援	侦测 → 连接 → 延迟执行 → 标量调整 → 解锁	队友建立救援关系，持续行动后恢复其资格。	扶起队友、合作复活	no
H155	13	千人千面	角色扮演、叙事与社会关系	结盟	行动者选择 → 连接 → 控制权转移 → 分配	参与者建立合作关系并共享部分资源或胜负。	外交联盟、组队	no
H156	13	千人千面	角色扮演、叙事与社会关系	背叛揭示	隐藏 → 行动者选择 → 断开 → 揭示 → 控制权转移	秘密角色选择背叛，原关系解除并改变阵营。	内鬼、叛徒机制	no
H157	14	争先恐后	体育、竞速、节奏与聚会表演	球权争夺	侦测 → 控制权转移 → 连接 → 位移	接触或规则判定改变球权，持有者带球移动。	足球、篮球、球类游戏	no
H158	14	争先恐后	体育、竞速、节奏与聚会表演	传球接应	行动者选择 → 断开 → 位移 → 侦测 → 连接 → 控制权转移	球离开持有者，经飞行后与接球队员建立关系。	传球、投接	no
H159	14	争先恐后	体育、竞速、节奏与聚会表演	射门得分	行动者选择 → 生成 → 位移 → 侦测 → 标量调整 → 放置	球进入得分区域后改变比分并重置位置。	足球、篮球	no
H160	14	争先恐后	体育、竞速、节奏与聚会表演	回合计分	侦测 → 标量调整 → 置换 → 控制权转移	一次攻防结束后计分并交换发球或行动权。	网球、排球	no
H161	14	争先恐后	体育、竞速、节奏与聚会表演	圈速竞赛	位移 → 侦测 → 标量调整 → 置换	通过终点记录时间或圈数，并更新排名。	赛车、田径	no
H162	14	争先恐后	体育、竞速、节奏与聚会表演	检查点	位移 → 侦测 → 连接 → 解锁	按顺序通过节点，开放下一个合法节点。	竞速检查点、滑雪门	no
H163	14	争先恐后	体育、竞速、节奏与聚会表演	尾流追赶	侦测 → 连接 → 标量调整 → 位移 → 断开	进入前车尾流取得速度增益，离开范围后解除。	赛车尾流、自行车	no
H164	14	争先恐后	体育、竞速、节奏与聚会表演	运动体力	行动者选择 → 消耗 → 标量调整 → 锁定 → 延迟执行 → 解锁	高强度动作消耗体力，过低时限制表现。	体育、竞速耐力	no
H165	14	争先恐后	体育、竞速、节奏与聚会表演	犯规处罚	侦测 → 锁定 → 标量调整 → 控制权转移	违规行为被确认后施加禁用、罚分或球权变化。	体育犯规	no
H166	14	争先恐后	体育、竞速、节奏与聚会表演	节奏判定	揭示 → 延迟执行 → 行动者选择 → 侦测 → 标量调整	提示按时间到达，输入误差决定得分。	音乐游戏	yes
H167	14	争先恐后	体育、竞速、节奏与聚会表演	物理技巧	行动者选择 → 位移 → 侦测 → 标量调整	玩家施加现实动作，结果由位置与碰撞判定。	弹棋、投掷、叠放	no
H168	14	争先恐后	体育、竞速、节奏与聚会表演	玩家裁判	揭示 → 行动者选择 → 分配 → 标量调整	玩家对表演或回答做判断并分配分数。	你画我猜、表演派对	no
H169	15	九死一生	肉鸽、生存撤离与长期运营	程序房间	随机选择 → 生成 → 放置 → 连接 → 揭示	系统选择模板并生成连通空间。	肉鸽地牢、程序地图	no
H170	15	九死一生	肉鸽、生存撤离与长期运营	随机奖励	随机选择 → 揭示 → 生成 → 分配	系统从奖励池决定并发放结果。	宝箱、掉落池	no
H171	15	九死一生	肉鸽、生存撤离与长期运营	三选一构筑	随机选择 → 揭示 → 行动者选择 → 控制权转移 → 锁定	展示随机候选，玩家取得一个并关闭其余。	肉鸽升级、祝福选择	no
H172	15	九死一生	肉鸽、生存撤离与长期运营	付费重掷	揭示 → 行动者选择 → 消耗 → 随机选择 → 替换	支付资源刷新候选集合。	商店刷新、奖励重掷	no
H173	15	九死一生	肉鸽、生存撤离与长期运营	永久死亡	标量调整 → 锁定 → 移除 → 移除 → 生成	角色死亡后本局结构退出，新一局从基础状态生成。	传统肉鸽、硬核模式	no
H174	15	九死一生	肉鸽、生存撤离与长期运营	局外成长	移除 → 分配 → 标量调整 → 解锁 → 生成	单局结束后把部分成果转为永久进度，再开新局。	元成长	no
H175	15	九死一生	肉鸽、生存撤离与长期运营	撤离兑现	控制权转移 → 连接 → 耦合位移 → 侦测 → 延迟执行 → 分配	携带战利品抵达撤离点并等待结算。	搜打撤、撤离玩法	yes
H176	15	九死一生	肉鸽、生存撤离与长期运营	缩圈压力	延迟执行 → 标量调整 → 侦测 → 锁定 → 耦合位移	安全区域逐步缩小，迫使参与者迁移。	大逃杀、安全区	no
H177	15	九死一生	肉鸽、生存撤离与长期运营	波次生成	延迟执行 → 随机选择 → 生成 → 放置 → 侦测	敌人按波次出现，系统检测清场进入下一波。	塔防、幸存者类	no
H178	15	九死一生	肉鸽、生存撤离与长期运营	难度递增	侦测 → 标量调整 → 替换 → 生成	进度提高后调整参数或替换敌人类型。	无尽模式、关卡爬升	no
H179	15	九死一生	肉鸽、生存撤离与长期运营	保底抽取	随机选择 → 侦测 → 标量调整 → 替换 → 控制权转移	连续未获得目标时累积计数，达到阈值改写结果。	抽卡保底	no
H180	15	九死一生	肉鸽、生存撤离与长期运营	赛季重置	延迟执行 → 锁定 → 分配 → 置换 → 解锁	周期结束后结算奖励、重排状态并开启新周期。	天梯赛季、长期运营	no
H181	16	运筹帷幄	策略、管理、战争与系统对抗	建造部署	行动者选择 → 消耗 → 生成 → 放置 → 连接	支付资源创建建筑或单位，并接入己方系统。	即时战略、塔防	no
H182	16	运筹帷幄	策略、管理、战争与系统对抗	多单位指挥	行动者选择 → 连接 → 控制权转移 → 耦合位移	框选多个单位并下达统一移动命令。	即时战略、编队移动	no
H183	16	运筹帷幄	策略、管理、战争与系统对抗	科技路线	揭示 → 行动者选择 → 消耗 → 连接 → 延迟执行 → 解锁	选择研究路径并等待完成，开放新能力。	文明、4X	no
H184	16	运筹帷幄	策略、管理、战争与系统对抗	阵型协同	行动者选择 → 置换 → 连接 → 标量调整	调整单位位置关系，使整体获得协同效果。	战阵、自动战斗	no
H185	16	运筹帷幄	策略、管理、战争与系统对抗	指挥范围	连接 → 侦测 → 解锁 → 断开 → 锁定	单位在指挥关系内可行动，离开范围后失去资格。	战争模拟、指挥链	no
H186	16	运筹帷幄	策略、管理、战争与系统对抗	士气溃退	侦测 → 标量调整 → 锁定 → 耦合位移 → 解锁	士气下降跨阈值后失控撤退，恢复后重新行动。	战争游戏、部队士气	no
H187	16	运筹帷幄	策略、管理、战争与系统对抗	外交谈判	揭示 → 行动者选择 → 连接 → 分配 → 替换	参与者交换条件并建立协议，改写关系状态。	4X外交、谈判桌游	no
H188	16	运筹帷幄	策略、管理、战争与系统对抗	集体投票	揭示 → 行动者选择 → 隐藏 → 揭示 → 侦测 → 替换	参与者提交选择，计票后改变共同状态。	议会、放逐投票	no
H189	16	运筹帷幄	策略、管理、战争与系统对抗	合作目标	连接 → 分配 → 侦测 → 标量调整 → 揭示	多个参与者共享目标进度并共同承担结果。	合作桌游、团队副本	no
H190	16	运筹帷幄	策略、管理、战争与系统对抗	塔防布防	行动者选择 → 消耗 → 生成 → 放置 → 侦测 → 生成 → 位移 → 标量调整	玩家提前布置，敌人沿路线进入并被自动结算。	塔防	yes
H191	16	运筹帷幄	策略、管理、战争与系统对抗	兵线推进	生成 → 放置 → 连接 → 耦合位移 → 侦测 → 标量调整 → 移除	单位按路线自动前进，接触后交战并退出。	MOBA兵线、线路战斗	no
H192	16	运筹帷幄	策略、管理、战争与系统对抗	环境事件	随机选择 → 延迟执行 → 揭示 → 替换 → 标量调整	系统选择天气或事件，预告后改变规则与参数。	天气、灾害、世界事件	no
H193	17	按部就班	卡牌调度与牌序操作	卡牌重调	控制权转移 → 隐藏 → 行动者选择 → 置换 → 随机选择 → 控制权转移 → 标量调整	玩家退回起手牌并重新抽取，同时承担手牌或资源代价。	Mulligan、起手重抽	no
H194	17	按部就班	卡牌调度与牌序操作	牌顶预视	隐藏 → 揭示 → 行动者选择 → 置换 → 隐藏	短暂查看未知队列顶部，并决定其保留、沉底或次序。	占卜、预视、牌顶整理	no
H195	17	按部就班	卡牌调度与牌序操作	定向检索	行动者选择 → 消耗 → 侦测 → 揭示 → 控制权转移 → 置换	支付代价从隐藏集合中找出指定对象，再重整集合。	Tutor、搜索牌库	no
H196	17	按部就班	卡牌调度与牌序操作	弃置区回收	移除 → 侦测 → 行动者选择 → 控制权转移 → 替换	从已退出的公开或半公开区域取回对象，使其重新可用。	坟场回手、废牌回收	yes
H197	17	按部就班	卡牌调度与牌序操作	规则复制	侦测 → 生成 → 替换 → 连接	读取目标的规则或属性，生成承担同类职责的新对象。	复制卡、克隆单位、模仿技能	no
H198	17	按部就班	卡牌调度与牌序操作	代用通配	行动者选择 → 转化 → 替换 → 连接	对象临时改变身份，代替指定类别参与关系判定。	百搭牌、万能素材	no
H199	17	按部就班	卡牌调度与牌序操作	逐级压制	揭示 → 行动者选择 → 侦测 → 替换 → 控制权转移	后手必须提交更高等级组合，直至无人能够继续覆盖。	爬牌、争上游、Big Two	no
H200	17	按部就班	卡牌调度与牌序操作	桌面捕鱼	行动者选择 → 揭示 → 侦测 → 控制权转移 → 合并	从手中打出对象，与公共区域匹配并一并取得。	Scopa、Cassino、钓鱼牌戏	no
H201	18	愿赌服输	风险承诺与多人分配	冒险续押	随机选择 → 揭示 → 标量调整 → 侦测 → 行动者选择 → 分配	随机收益不断累积，玩家在兑现与继续冒险之间反复选择。	Push Your Luck、爆牌前收手	yes
H202	18	愿赌服输	风险承诺与多人分配	一割一选	行动者选择 → 拆分 → 控制权转移 → 行动者选择 → 分配	一名玩家负责切分，另一名玩家拥有优先选择权。	I Cut, You Choose	no
H203	18	愿赌服输	风险承诺与多人分配	囚徒困境	解锁 → 行动者选择 → 隐藏 → 揭示 → 侦测 → 分配	参与者秘密选择合作或背叛，再按组合结果分配收益。	囚徒困境、秘密合作选择	no
H204	18	愿赌服输	风险承诺与多人分配	热土豆传递	控制权转移 → 延迟执行 → 随机选择 → 侦测 → 标量调整 → 控制权转移	危险对象在玩家间传递，未知终止时点决定惩罚归属。	Hot Potato、定时炸弹传递	no
H205	18	愿赌服输	风险承诺与多人分配	合同叫牌	揭示 → 行动者选择 → 标量调整 → 连接 → 侦测 → 分配	玩家先承诺未来成绩，实际结果与承诺共同决定结算。	桥牌叫牌、预测墩数	no
H206	18	愿赌服输	风险承诺与多人分配	奖池累积	消耗 → 合并 → 标量调整 → 随机选择 → 侦测 → 分配	多次投入汇入公共奖池，满足稀有条件后集中支付。	累积奖池、Jackpot	no
H207	18	愿赌服输	风险承诺与多人分配	动态清盘	侦测 → 标量调整 → 行动者选择 → 控制权转移 → 置换	市场价格随库存和交易变化，玩家在新价格下完成买卖并刷新市场。	商品投机、动态市场	no
H208	18	愿赌服输	风险承诺与多人分配	保留价流拍	揭示 → 行动者选择 → 标量调整 → 侦测 → 锁定 → 置换	最高承诺未达到门槛时，对象不转移并进入后续轮次。	保留价、流拍、延迟出售	no
H209	19	伺机而动	操作时序与战斗条件	输入缓冲	行动者选择 → 锁定 → 连接 → 延迟执行 → 解锁 → 替换	当前不可执行的指令被暂存，在合法窗口出现时自动接替动作。	平台跳跃缓冲、动作游戏预输入	no
H210	19	伺机而动	操作时序与战斗条件	边缘宽限	位移 → 侦测 → 延迟执行 → 行动者选择 → 解锁 → 位移	离开合法位置后短暂保留行动资格，容纳感知和输入误差。	Coyote Time、离台后跳跃	no
H211	19	伺机而动	操作时序与战斗条件	命中确认	行动者选择 → 侦测 → 揭示 → 行动者选择 → 替换	先观察攻击是否命中，再选择安全收招或高收益后续。	Hit Confirm	yes
H212	19	伺机而动	操作时序与战斗条件	条件选项	行动者选择 → 连接 → 侦测 → 替换 → 延迟执行	同一输入绑定多个结果，系统根据实时条件只执行合法分支。	Option Select	no
H213	19	伺机而动	操作时序与战斗条件	帧隙诱捕	行动者选择 → 锁定 → 延迟执行 → 解锁 → 侦测 → 标量调整	故意留下看似可行动的短窗，诱使对手解锁后被后续命中。	Frame Trap	no
H214	19	伺机而动	操作时序与战斗条件	指令堆栈	侦测 → 行动者选择 → 放置 → 连接 → 置换 → 延迟执行 → 移除	响应被压入待结算结构，并按规定次序逆向或顺向处理。	卡牌堆叠、技能响应栈	no
H215	19	伺机而动	操作时序与战斗条件	快速反应事件	揭示 → 延迟执行 → 行动者选择 → 侦测 → 替换	临时指令出现并开放短窗口，及时输入会改写预定结果。	QTE、限时挣脱	no
H216	19	伺机而动	操作时序与战斗条件	连击倍率重置	侦测 → 标量调整 → 延迟执行 → 侦测 → 替换	连续成功累积倍率，失误或超时使倍率回到基准。	节奏连击、动作评分链	no
H217	20	步步为营	战争位置与兵线对抗	威胁区截停	连接 → 位移 → 侦测 → 锁定 → 行动者选择	对象进入敌方影响区后被迫停止、回应或支付额外行动。	战棋控制区、拦截	no
H218	20	步步为营	战争位置与兵线对抗	补给线切断	连接 → 分配 → 侦测 → 断开 → 锁定	资源沿网络输送，关键连接失效后前线行动受限。	战争游戏补给线、封锁运输	yes
H219	20	步步为营	战争位置与兵线对抗	侧翼夹击	位移 → 连接 → 侦测 → 标量调整	多个行动者从不同方向建立攻击关系，改变防守或伤害结果。	夹击、背击、包抄	no
H220	20	步步为营	战争位置与兵线对抗	增援抵达	侦测 → 延迟执行 → 生成 → 放置 → 连接	战局满足条件后等待一定时间，新单位在合法入口加入原部队。	援军、召回、波次增援	no
H221	20	步步为营	战争位置与兵线对抗	兵线牵引	侦测 → 连接 → 耦合位移 → 断开 → 位移	主动取得中立或敌对单位注意，使其偏离原路线并改变相遇点。	Pull、兵线控线、野怪拉扯	no
H222	20	步步为营	战争位置与兵线对抗	补刀结算	标量调整 → 侦测 → 移除 → 分配	系统识别造成最后一次有效变化的行动者，并把额外收益交给它。	Last Hit、击杀归属	no
H223	20	步步为营	战争位置与兵线对抗	反补剥夺	行动者选择 → 侦测 → 移除 → 锁定 → 分配	主动移除己方临界对象，关闭对手原本可获得的收益入口。	Deny、烧毁资源	no
H224	20	步步为营	战争位置与兵线对抗	占点加时	延迟执行 → 侦测 → 锁定 → 标量调整 → 解锁	倒计时结束时若目标区仍被争夺，终局被锁住并继续结算。	Overtime、据点续时	no
H225	21	潜踪匿影	潜行警戒与行为追踪	噪声传播	行动者选择 → 生成 → 连接 → 分配 → 侦测 → 揭示	行动生成可传播的信息，范围内观察者接收后改变认知。	脚步声、枪声、声音诱敌	yes
H226	21	潜踪匿影	潜行警戒与行为追踪	尸体发现	生成 → 放置 → 侦测 → 揭示 → 标量调整 → 连接	残留对象留在场景，被守卫发现后提高警戒并建立调查目标。	潜行游戏藏尸、发现倒地者	no
H227	21	潜踪匿影	潜行警戒与行为追踪	警戒消退	侦测 → 延迟执行 → 标量调整 → 断开 → 隐藏	持续未发现证据时警戒逐步下降，搜索关系解除并恢复隐藏。	警戒冷却、脱离搜索	no
H228	21	潜踪匿影	潜行警戒与行为追踪	伪装通行	行动者选择 → 替换 → 隐藏 → 侦测 → 解锁	改变可见身份，让权限检查暂时开放原本禁止的区域。	换装、制服、社会潜行	no
H229	21	潜踪匿影	潜行警戒与行为追踪	搜索巡逻回归	侦测 → 连接 → 位移 → 延迟执行 → 断开 → 位移	异常触发调查路线，证据中断后解除目标并返回常规路线。	守卫调查、巡逻复位	no
H230	21	潜踪匿影	潜行警戒与行为追踪	追击边界重置	连接 → 耦合位移 → 侦测 → 断开 → 标量调整 → 位移	目标超出追击边界后解除仇恨、恢复状态并返回出生区。	Leash、脱战回血	no
H231	21	潜踪匿影	潜行警戒与行为追踪	痕迹追踪	生成 → 放置 → 侦测 → 连接 → 位移	行动留下连续痕迹，追踪者逐个发现并沿线移动。	脚印、血迹、气味追踪	no
H232	21	潜踪匿影	潜行警戒与行为追踪	信息诱饵	行动者选择 → 生成 → 揭示 → 侦测 → 替换	玩家制造可被观察的假线索，使对手用错误对象替换真实目标。	诱饵、假身、伪造声音	no
H233	22	一拍即合	竞速、节奏与聚会时序	进站维护	侦测 → 行动者选择 → 位移 → 锁定 → 消耗 → 标量调整 → 解锁	车辆主动离开主路线并暂停竞争，以时间换取燃料、轮胎或维修。	Pit Stop	yes
H234	22	一拍即合	竞速、节奏与聚会时序	追赶补偿	侦测 → 置换 → 标量调整 → 位移	系统根据名次识别落后者，动态调整其运动能力。	Rubber Banding、追赶加速	no
H235	22	一拍即合	竞速、节奏与聚会时序	燃料轮胎权衡	位移 → 消耗 → 标量调整 → 侦测 → 行动者选择 → 替换	高速移动持续消耗燃料和轮胎，玩家选择速度、续航与更换时机。	耐力赛策略	no
H236	22	一拍即合	竞速、节奏与聚会时序	节奏长按	揭示 → 行动者选择 → 连接 → 延迟执行 → 侦测 → 断开 → 标量调整	在开始窗口建立持续输入关系，保持至结束窗口后按完整度结算。	Hold Note、长条音符	no
H237	22	一拍即合	竞速、节奏与聚会时序	节奏热潮	侦测 → 标量调整 → 解锁 → 延迟执行 → 替换	连续准确行为填满计量，开放限时高收益阶段并在结束后复位。	Fever、Overdrive	no
H238	22	一拍即合	竞速、节奏与聚会时序	钓鱼咬钩	延迟执行 → 随机选择 → 揭示 → 行动者选择 → 侦测 → 控制权转移	等待随机咬钩信号，在短窗口响应后取得目标。	钓鱼小游戏、反应捕获	no
H239	22	一拍即合	竞速、节奏与聚会时序	接力交棒	连接 → 耦合位移 → 侦测 → 控制权转移 → 断开 → 连接	携带物随行动者移动，到接力区后将职责转交给下一行动者。	接力赛、协作搬运	no
H240	22	一拍即合	竞速、节奏与聚会时序	抢椅淘汰	延迟执行 → 随机选择 → 揭示 → 行动者选择 → 位移 → 侦测 → 锁定 → 移除	随机停止信号开放抢位，未取得有限位置者退出。	音乐椅、限位抢占	no
H241	23	休养生息	生存生态与长期维护	负重惩罚	控制权转移 → 标量调整 → 侦测 → 连接 → 标量调整	持有物增加负重，跨过阈值后与移动或体力能力建立惩罚关系。	Encumbrance、超载减速	no
H242	23	休养生息	生存生态与长期维护	传染扩散	连接 → 侦测 → 生成 → 分配 → 连接 → 延迟执行	携带状态的对象接触他者后复制状态，并继续形成新的传播关系。	疾病、火焰、污染扩散	no
H243	23	休养生息	生存生态与长期维护	休息庇护	位移 → 侦测 → 连接 → 延迟执行 → 标量调整 → 断开	进入安全环境并保持一段时间，换取生命、疲劳或精神恢复。	睡眠、营火、舒适度	no
H244	23	休养生息	生存生态与长期维护	种植收获	行动者选择 → 消耗 → 生成 → 放置 → 延迟执行 → 转化 → 控制权转移	支付种子生成作物，经过时间成长后转化为可收取资源。	农场、栽培、成熟采摘	yes
H245	23	休养生息	生存生态与长期维护	育种遗传	行动者选择 → 连接 → 随机选择 → 合并 → 生成 → 替换	选择亲本并混合其特征，以随机规则生成新的后代身份。	宠物繁育、遗传词条	no
H246	23	休养生息	生存生态与长期维护	捕获驯化	侦测 → 标量调整 → 锁定 → 行动者选择 → 控制权转移 → 连接	先把目标压到可捕获状态，再改变归属并建立长期伙伴关系。	捕捉怪物、驯服坐骑	no
H247	23	休养生息	生存生态与长期维护	离线积累	锁定 → 延迟执行 → 标量调整 → 揭示 → 生成 → 分配	玩家离开期间系统按时间累计，返回时公开并发放结果。	Idle、离线收益	no
H248	23	休养生息	生存生态与长期维护	连续签到	延迟执行 → 侦测 → 标量调整 → 锁定 → 生成 → 分配 → 替换	按周期检查连续行为，保持连续便升级奖励，断档则复位。	签到、连续任务、Streak	no
H249	24	移花接木	场景重构与跨阶段记忆	图层剥离	侦测 → 标量调整 → 替换 → 移除	同一位置包含多层状态，每次满足条件只移除或替换一层。	三消冰层、护甲层、可剥离地块	no
H250	24	移花接木	场景重构与跨阶段记忆	连锁反应	侦测 → 生成 → 分配 → 侦测 → 生成 → 分配	一次结果生成新的作用源，后者继续触发相同或兼容规则。	连爆、消除连锁、传播机关	no
H251	24	移花接木	场景重构与跨阶段记忆	地图变形	行动者选择 → 侦测 → 替换 → 耦合位移 → 连接	玩家改变地形身份，并连带移动对象、重建通路关系。	挖掘、筑坝、Terraforming	no
H252	24	移花接木	场景重构与跨阶段记忆	地图收缩	延迟执行 → 锁定 → 移除 → 耦合位移	可用区域随时间关闭或退出，迫使仍在其中的对象迁移。	版图缩减、坍塌战场	no
H253	24	移花接木	场景重构与跨阶段记忆	检查点复位	位移 → 侦测 → 连接 → 标量调整 → 移除 → 生成 → 放置	经过检查点保存恢复关系，失败后在该位置重新生成。	Checkpoint、篝火复活	no
H254	24	移花接木	场景重构与跨阶段记忆	护送依赖	连接 → 耦合位移 → 侦测 → 标量调整 → 锁定	目标与队伍共同移动，其状态跨阈值会关闭任务或路线。	Escort、护送NPC	no
H255	24	移花接木	场景重构与跨阶段记忆	自适应难度	侦测 → 标量调整 → 随机选择 → 替换	系统读取玩家表现，动态替换后续挑战参数或内容集合。	动态难度、AI Director	no
H256	24	移花接木	场景重构与跨阶段记忆	分支旗标回响	行动者选择 → 隐藏 → 连接 → 延迟执行 → 侦测 → 揭示 → 替换	早期选择被隐藏记录，跨阶段检测后公开并改写后续状态。	剧情旗标、长期后果、回调事件	yes
H257	25	见机行事	桌游权限与动态机会	行动回收	放置 → 锁定 → 延迟执行 → 控制权转移 → 解锁	已用于占位的行动标记在回收阶段返还，使对应行动重新可用。	Action Retrieval、工人回收	no
H258	25	见机行事	桌游权限与动态机会	跟随行动	行动者选择 → 揭示 → 解锁 → 行动者选择 → 消耗 → 锁定	主动玩家选择行动后，为其他玩家短暂开放付费跟随机会。	Follow、次级行动	no
H259	25	见机行事	桌游权限与动态机会	限制沟通	控制权转移 → 锁定 → 行动者选择 → 揭示 → 解锁	阶段性地把表达权限交给特定行动者，其他人不能自由传递信息。	Communication Limits、单词提示	no
H260	25	见机行事	桌游权限与动态机会	过期行动	解锁 → 延迟执行 → 侦测 → 锁定 → 移除	行动机会只在有限时间或阶段内开放，超时后关闭并退出。	Expiring Actions、限时购买权	no
H261	25	见机行事	桌游权限与动态机会	强制承诺	行动者选择 → 锁定 → 隐藏 → 揭示 → 位移	玩家先秘密锁定资源或单位，统一揭示后才能执行部署。	Force Commitment、暗置命令	no
H262	25	见机行事	桌游权限与动态机会	冷门资源升值	揭示 → 行动者选择 → 置换 → 侦测 → 标量调整	未被选择的选项继续留场并自动累积价值，直到有人取得。	Increase Value of Unchosen Resources	yes
H263	25	见机行事	桌游权限与动态机会	循环克制	行动者选择 → 隐藏 → 揭示 → 侦测 → 控制权转移	参与者秘密选择具有循环胜负关系的状态，揭示后据克制关系判定优势。	石头剪刀布、循环属性克制	no
H264	25	见机行事	桌游权限与动态机会	拉锯标尺	行动者选择 → 标量调整 → 侦测 → 置换 → 锁定	多方反复推动同一共享标尺，跨过任一端点后锁定胜负。	Tug of War、共享影响轨	no
H265	26	时不我待	跨层资格、规则装配与资源清算	限时续关	锁定 → 揭示 → 延迟执行 → 行动者选择 → 消耗 → 替换 → 解锁	失败关闭行动后短暂开放续关决定，玩家在窗口内支付资源便保留或恢复当前进度。	街机续关、代币复活、限时继续	no
H266	26	时不我待	跨层资格、规则装配与资源清算	顺序覆盖	连接 → 置换 → 侦测 → 替换 → 解锁	多个规则版本指向同一记录时，系统按加载顺序确定优先权，由后置版本接替最终职责。	模组加载、规则包覆盖、插件优先级	no
H267	26	时不我待	跨层资格、规则装配与资源清算	缺席回归	延迟执行 → 侦测 → 替换 → 揭示 → 生成 → 分配	系统累计玩家缺席时间，回归时达到门槛便改变身份并开放专属奖励结构。	回归日历、老兵召回、回流任务	no
H268	26	时不我待	跨层资格、规则装配与资源清算	到期兑换	延迟执行 → 侦测 → 转化 → 分配 → 锁定	周期结束后检查残留专属资源，将其转成长期资源并关闭原用途。	活动币兑换、赛季材料折算	yes
H269	26	时不我待	跨层资格、规则装配与资源清算	到期销毁	延迟执行 → 侦测 → 锁定 → 移除	周期结束后检查残留专属资源，关闭其使用资格并从持有状态中移除。	活动币清零、限时道具消失	no
H270	27	一锤定音	人类裁决、外部状态与制度运行	临场裁决	行动者选择 → 揭示 → 侦测 → 行动者选择 → 替换 → 延迟执行	参与者提出未预写行动，裁决者读取语境，临时选定合法检定或处理规则并执行。	TRPG即兴行动、主持式游戏、现场裁判	no
H271	27	一锤定音	人类裁决、外部状态与制度运行	失败转机	侦测 → 标量调整 → 转化 → 生成 → 连接	失败或部分成功不终止推进，而是转化为代价、险境或新矛盾，继续成为后续行动输入。	成功但付代价、失败前进、局势升级	yes
H272	27	一锤定音	人类裁决、外部状态与制度运行	裁决复核	侦测 → 锁定 → 揭示 → 行动者选择 → 替换 → 解锁	对争议状态暂停执行，调取证据，由更高裁决者维持或改写原决定后恢复运行。	VAR、赛事申诉、主裁复核	no
H273	27	一锤定音	人类裁决、外部状态与制度运行	群体指令聚合	解锁 → 行动者选择 → 隐藏 → 侦测 → 置换 → 控制权转移	多名参与者并发提交指令，系统聚合为一个最终操作，并把本次执行权交给该结果。	Twitch Plays、直播群控、集体驾驶	no
H274	27	一锤定音	人类裁决、外部状态与制度运行	外部数据计分	侦测 → 转化 → 标量调整 → 置换	系统读取现实世界事件，将其转换为游戏数值并据此改变局内排名或结果。	幻想体育、现实赛事实时映射	no
H275	27	一锤定音	人类裁决、外部状态与制度运行	追溯改判	揭示 → 侦测 → 替换 → 标量调整 → 置换	已公布的外部事实被权威来源修正后，系统追溯改写分数、胜负和后续排序。	数据更正、赛后改判、排名重算	no
H276	27	一锤定音	人类裁决、外部状态与制度运行	资格认证	侦测 → 揭示 → 锁定 → 解锁 → 连接	对象必须通过规则检查，才解除参赛锁定并接入正式赛程或行动系统。	车辆/机器人验车、牌表检查、注册审核	no
H277	27	一锤定音	人类裁决、外部状态与制度运行	双败续命	侦测 → 标量调整 → 置换 → 锁定 → 解锁	第一次失败不淘汰，而是把参与者转入另一条有限容错赛道；再次失败才关闭资格。	双败淘汰、败者组、复活赛道	no
H278	27	一锤定音	人类裁决、外部状态与制度运行	故障重赛	侦测 → 揭示 → 锁定 → 置换 → 生成 → 解锁	侦测到非参与者责任的关键故障后冻结原结果，撤销原比赛实例并生成一次合法重赛。	场地故障重赛、系统崩溃重开	no
H279	27	一锤定音	人类裁决、外部状态与制度运行	级联递补	侦测 → 锁定 → 移除 → 置换 → 解锁	正选失去资格后，从候补序列中依规则递进替位，并同步重排后续关系。	幸运落败者、候补晋级、退赛递补	no
H280	27	一锤定音	人类裁决、外部状态与制度运行	设备信用启动	消耗 → 解锁 → 控制权转移 → 锁定	玩家消耗信用后获得一次有限设备控制周期，周期结束时设备自动收回控制权。	投币街机、弹球信用、付费游乐设备	no
H281	27	一锤定音	人类裁决、外部状态与制度运行	倾斜没收	侦测 → 标量调整 → 侦测 → 锁定 → 控制权转移	设备持续累计异常物理输入，越过倾斜阈值后锁定操作并没收本球或本局控制权。	弹球机TILT、机械防作弊	no
H282	27	一锤定音	人类裁决、外部状态与制度运行	成果回流	行动者选择 → 转化 → 揭示 → 控制权转移 → 连接 → 生成	玩家产出被转换为外部系统可使用的成果并移交验证；验证结果再接回游戏，生成新题目、约束或下一轮任务。	公民科学游戏、科研解谜、实验反馈型众包	no
H283	27	一锤定音	人类裁决、外部状态与制度运行	抢答锁权	揭示 → 解锁 → 行动者选择 → 侦测 → 锁定 → 控制权转移	公共问题揭示后，系统在合法时点开放输入，只承认最先到达的有效信号，锁定其余竞争者并授予本次响应权。	抢答器、知识竞赛、实时反应竞赛	no
